Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Romiette and Julio,"Draper, Sharon M.",,,,Florida,Lee County Schools,May 2022,Banned in Libraries,Administrator
Hot Dog Girl,"Dugan, Jennifer",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Verona Comics,"Dugan, Jennifer",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"It Ain't So Awful, Falafel","Dumas, Firoozeh",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
"Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)","Dumas, Marti",,"Parcus, Stephanie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Mission Star-Power (Jaden Toussaint, the Greatest Series)","Dumas, Marti",,"Parcus, Stephanie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Muffin Wars (Jaden Toussaint, the Greatest Series)","Dumas, Marti",,"Parcus, Stephanie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"The Ladek Invasion (Jaden Toussaint, the Greatest Series)","Dumas, Marti",,"Muravski, Marie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"The Quest for Screen Time (Jaden Toussaint, the Greatest Series)","Dumas, Marti",,"Muravski, Marie",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
An Indigenous Peoples' History of the United States,"Dunbar-Ortiz, Roxanne",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
We Are Lost and Found,"Dunbar, Helene",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,"Duncan-Andrade, Jeffrey M. R.","Morrell, Ernest",,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968","Duncan, Alice Faye",,"Christie, R. Gregory",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Killing Mr. Griffin,"Duncan, Lois",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Killing Mr. Griffin,"Duncan, Lois",,,,Florida,Jackson County School District,April 2022,Banned in Libraries and Classrooms,Administrator
Killing Mr. Griffin,"Duncan, Lois",,,,Florida,Lee County Schools,March 2022,Banned Pending Investigation,Administrator
Killing Mr. Griffin,"Duncan, Lois",,,,Florida,St. Lucie Public Schools,December 2021,Banned in Libraries,Formal Challenge
Killing Mr. Griffin,"Duncan, Lois",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
A Perfect Blank,"Duran, Rye",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Girl Who Fell from the Sky,"Durrow, Heidi W.",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
The Art of Saving the World,"Duyvis, Corinne",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Enough! 20 Protesters Who Changed America,"Easton, Emily",,"Chen, Ziyue",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
The Witch King (The Witch King Series),"Edgmon, H. E.",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Who Is Barack Obama? (Who was...? Series),"Edwards, Roberta","Harrison, Nancy","O'Brien, John",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
After,"Efaw, Amy",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
After,"Efaw, Amy",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Circle (The Circle Series),"Eggers, Dave",,,,South Dakota,Rapid City Area Schools,April 2022,Banned in Libraries and Classrooms,Administrator
The New Queer Conscience,"Eli, Adam",,"Lukashevsky, Ashley",,Tennessee,Collierville Schools,February 2022,Banned in Libraries and Classrooms,Administrator
Perfect Chemistry (Perfect Chemistry Series),"Elkeles, Simone",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Perfect Chemistry (Perfect Chemistry Series),"Elkeles, Simone",,,,Georgia,Cherokee County School District,January 2022,Banned in Libraries,Formal Challenge
Milo's Museum,"Elliott, Zetta",,"Wong, Purple",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Say Her Name,"Elliott, Zetta",,"Wise, Loveis",,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Magic To Brew (Moonstruck Series),"Ellis, Grace",,"Beagle, Shae",,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
May the Best Man Win,"Ellor, Z. R.",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Home at Last,"Elya, Susan Middleton",,"Davalos, Felipe",,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education,"Emdin, Christopher",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Pet,"Emezi, Akwaeke",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
A Dog Named Haku: A Holiday Story from Nepal,"Engle, Margarita","Karanjit, Amish; Karanjit, Nicole","Jeyaveeran, Ruth",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Drum Dream Girl: How One Girl's Courage Changed Music,"Engle, Margarita",,"López, Rafael",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Drum Dream Girl: How One Girl's Courage Changed Music,"Engle, Margarita",,Rafael López,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Hot Day on Abbott Avenue,"English, Karen",,"Steptoe, Javaka",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Nadia's Hands,"English, Karen",,"Weiner, Jonathan",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Nikki & Deja (Nikki & Deja Series),"English, Karen",,"Freeman, Laura",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
En Comunidad: Lessons for Centering the Voices and Experiences of Bilingual Latinx Students,"España, Carla","Yadira Herrera, Luz",,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Birth Control,"Espejo, Roman",,,,Texas,Klein Independent School District,December 2021,Banned Pending Investigation,Administrator
Teach Us Your Name: Empowering Children to Teach Others to Pronounce Their Names Correctly,"Essa, Huda",,"Cojocaru, Diana",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Middlesex,"Eugenides, Jeffrey",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
We March,"Evans, Shane W.",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
We March,"Evans, Shane W.",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
"Girl, Woman, Other","Evaristo, Bernardine",,,"Aguilar, Julia Osuna",South Dakota,Rapid City Area Schools,April 2022,Banned in Libraries and Classrooms,Administrator
Lawn Boy,"Evison, Jonathan",,,,Florida,Orange County Public Schools,October 2021,Banned in Libraries,Formal Challenge
Lawn Boy,"Evison, Jonathan",,,,Iowa,Waukee Community School District,October 2021,Banned Pending Investigation,Administrator
Lawn Boy,"Evison, Jonathan",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
Lawn Boy,"Evison, Jonathan",,,,Michigan,Novi Community School District,January 2022,Banned in Libraries,Formal Challenge
Lawn Boy,"Evison, Jonathan",,,,Minnesota,Wayzata Public Schools,January 2022,Banned Pending Investigation,Administrator
Lawn Boy,"Evison, Jonathan",,,,Missouri,Wentzville School District,October 2021,Banned Pending Investigation,Formal Challenge
Lawn Boy,"Evison, Jonathan",,,,New York,Yorktown Central School District,January 2022,Banned Pending Investigation,Formal Challenge
Lawn Boy,"Evison, Jonathan",,,,Ohio,Hudson City Schools,September 2021,Banned Pending Investigation,Administrator
Lawn Boy,"Evison, Jonathan",,,,Pennsylvania,North Penn School District,September 2021,Banned in Libraries,Administrator
Lawn Boy,"Evison, Jonathan",,,,Texas,Katy Independent School District,February 2022,Banned in Libraries and Classrooms,Administrator
Lawn Boy,"Evison, Jonathan",,,,Texas,Lamar Consolidated Independent School District,December 2021,Banned Pending Investigation,Administrator
Lawn Boy,"Evison, Jonathan",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Lawn Boy,"Evison, Jonathan",,,,Texas,Prosper Independent School District,January 2022,Banned in Libraries and Classrooms,Administrator
Lawn Boy,"Evison, Jonathan",,,,Texas,Tyler Independent School District,November 2021,Banned in Libraries and Classrooms,Administrator
Lawn Boy,"Evison, Jonathan",,,,Utah,Canyons School District,October 2021,Banned Pending Investigation,Administrator
Lawn Boy,"Evison, Jonathan",,,,Virginia,Fairfax County Public Schools,September 2021,Banned Pending Investigation,Formal Challenge
Lawn Boy,"Evison, Jonathan",,,,Virginia,Virginia Beach City Public Schools,October 2021,Banned Pending Investigation,Administrator
"10,000 Dresses","Ewert, Marcus",,"Ray, Rex",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Ghosts in the Schoolyard: Racism and School Closings on Chicago's South Side,"Ewing, Eve L.",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Who Was Frida Kahlo? (Who was...? Series),"Fabiny, Sarah",,"Hoare, Jerry",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Who Was Rachel Carson? (Who was...? Series),"Fabiny, Sarah",,"Putra, Dede",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
My Heart Underwater,"Fantauzzo, Laurel Flores",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
My Heart Underwater,"Fantauzzo, Laurel Flores",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
If You Could Be Mine,"Farizan, Sara",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Tell Me Again How a Crush Should Feel,"Farizan, Sara",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Abortion Debate (Essential Viewpoints),"Farrell, Courtney",,,,Texas,Klein Independent School District,December 2021,Banned Pending Investigation,Administrator
The Abortion Debate (Essential Viewpoints),"Farrell, Courtney",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
With Or Without You,"Farrey, Brian",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Lailah's Lunchbox: A Ramadan Story,"Faruqi, Reem",,"Lyon, Lea",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
A Place at the Table,"Faruqi, Saadia","Shovan, Laura",,,North Carolina,Wilkes County School District,May 2022,Banned in Classrooms,Administrator
Yasmin the Builder (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Chef (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Explorer (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Fashionista (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Friend (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Gardener (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Librarian (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Painter (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Recycler (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Scientist (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Singer (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Soccer Star (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Superhero (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Teacher (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Writer (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Yasmin the Zookeeper (Yasmin Series),"Faruqi, Saadia",,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,"Faux, Marian",,,,Texas,Klein Independent School District,December 2021,Banned Pending Investigation,Administrator
Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,"Faux, Marian",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Nate Expectations,"Federle, Tim",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Great American Whatever,"Federle, Tim",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Great American Whatever,"Federle, Tim",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Sissy Duckling,"Fierstein, Harvey",,"Cole, Henry",,Florida,Broward County Public Schools,June 2022,Banned in Libraries and Classrooms,Administrator
Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,"Finch, Michelle","Finch, Phoenix","Davey, Sharon",,Indiana,Carmel Clay Schools,July 2021,Banned Pending Investigation,Administrator
The Sweet Revenge of Celia Door,"Finneyfrock, Karen",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Hook Up,"Firmston, Kim",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Do Abstinence Programs Work?,"Fisanick, Christina",,,,Texas,Klein Independent School District,November 2021,Banned Pending Investigation,Administrator
The Passing Playbook,"Fitzsimons, Isaac",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Who Am I Without Him?: A Short Story Collection about Girls and Boys in Their Lives,"Flake, Sharon G.",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Seedfolks,"Fleischman, Paul",,"Pedersen, Judy",,Texas,Birdville Independent School District,October 2021,Banned in Libraries,Formal Challenge
Tattoo Atlas,"Floreen, Tim",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Willful Machines,"Floreen, Tim",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)","Florence, Debbi Michiko",,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)","Florence, Debbi Michiko",,"Vukovic, Elizabet",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)","Florence, Debbi Michiko",,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)","Florence, Debbi Michiko",,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Jasmine Toguchi, Super Sleuth (Jasmine Toguchi Series)","Florence, Debbi Michiko",,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Gone Girl,"Flynn, Gillian",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,Florida,Lee County Schools,May 2022,Banned in Libraries,Administrator
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,Florida,Polk County Public Schools,January 2022,Banned in Libraries,Administrator
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,Florida,St. Lucie Public Schools,January 2022,Banned in Libraries,Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,Michigan,Gladwin Community Schools,May 2022,Banned Pending Investigation,Administrator
The Carnival at Bray,"Foley, Jessie Ann",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,Texas,Katy Independent School District,January 2022,Banned in Libraries,Administrator
Suicide Notes,"Ford, Michael Thomas",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
I Was Here,"Forman, Gayle",,,,Oklahoma,Bristow Public Schools,October 2021,Banned Pending Investigation,Administrator
Winter Candle,"Frame, Jeron Ashford",,"Schuett, Stacey",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Dime,"Frank, E. R.",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Life is Funny,"Frank, ER",,,,North Carolina,Moore County Schools,April 2022,Banned in Libraries and Classrooms,Administrator
Not Quite Snow White,"Franklin, Ashley",,"Glenn, Ebony",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Tessa Masterson Will Go to Prom,"Franklin, Emily","Halpin, Brendan",,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Tessa Masterson Will Go to Prom,"Franklin, Emily","Halpin, Brendan",,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Bingo Love #1,"Franklin, Tee",,"St. Onge, Jenn; San, Joy; FT, Genevieve",,Tennessee,Collierville Schools,February 2022,Banned in Libraries and Classrooms,Administrator
Cheer Up: Love and Pompoms,"Frasier, Crystal","Wise, Val",,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Black Friend: On Being a Better White Person,"Joseph, Frederick",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
The Black Friend: On Being a Better White Person,"Joseph, Frederick",,,,Mississippi,Madison County Schools,April 2022,Banned in Libraries,Administrator
Monster Trouble!,"Fredrickson, Lane",,"Robertson, Michael",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Pedagogy of the Oppressed,"Freire, Paulo",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
All Eyes on Us,"Frick, Kit",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Lush,"Friend, Natasha",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
The Double Life of Pocahontas,"Fritz, Jean",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
African American Cowboys: True Heroes Of The Old West,"Fuerst, Jeffrey B.",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
A Quick & Easy Guide to Queer & Trans Identities,"G., Mady","Zuckerberg, J. R.",,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
A Quick & Easy Guide to Queer & Trans Identities,"G., Mady","Zuckerberg, J. R.",,,Tennessee,Collierville Schools,February 2022,Banned in Libraries and Classrooms,Administrator
Outlander (Outlander Series),"Gabaldon, Diana",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Sam!,"Gabriel, Dani",,"Liu-Trujillo, Robert",,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
When We Were Magic,"Gailey, Sarah",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
When We Were Magic,"Gailey, Sarah",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
A Lesson Before Dying,"Gaines, Ernest J.",,,,Virginia,Virginia Beach City Public Schools,October 2021,Banned Pending Investigation,Administrator
Ho'onani: Hula Warrior,"Gale, Heather",,"Song, Mika",,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Lobizona (Wolves of No World Series),"Garber, Romina",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Lobizona: A Novel (Wolves of No World Series),"Garber, Romina",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Caraval (Caraval Series),"Garber, Stephanie",,,,Texas,Katy Independent School District,April 2022,Banned in Libraries,Administrator
Dreaming in Cuban,"García, Cristina",,,,Florida,Lee County Schools,March 2022,Banned in Libraries and Classrooms,Administrator
Dreaming in Cuban,"García, Cristina",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Escuchando con mi Corazón: Un cuento de bondad y autocompasión (Listening to My Heart),"Garcia, Gabi",,"Tan, Ying Hui",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Cow on the Town: Practicing the Ow Sound,"Garcia, Isabella",,,,Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Annie on My Mind,"Garden, Nancy",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
"Hear Us Out!: Lesbian and Gay Stories of Struggle, Progress, and Hope, 1950 to the Present","Garden, Nancy",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Year They Burned the Books,"Garden, Nancy",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Girl on the Line,"Gardner, Faith",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Full Disclosure,"Garrett, Camryn",,,,Texas,Killeen Independent School District,April 2022,Banned in Libraries and Classrooms,Administrator
Say the Word,"Garsee, Jeannine",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Symptoms of Being Human,"Garvin, Jeff",,,,Oklahoma,Bristow Public Schools,October 2021,Banned Pending Investigation,Administrator
Symptoms of Being Human,"Garvin, Jeff",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Symptoms of Being Human,"Garvin, Jeff",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Symptoms of Being Human,"Garvin, Jeff",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
"Culturally Responsive Teaching: Theory, Research, and Practice","Gay, Geneva",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Hunger: A Memoir of (My) Body,"Gay, Roxane",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Fancy White Trash,"Geerling, Marjetta",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Fancy White Trash,"Geerling, Marjetta",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
My Mixed-Up Berry Blue Summer,"Gennari, Jennifer",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
My Mixed-Up Berry Blue Summer,"Gennari, Jennifer",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
The Edge of the Water (Whidbey Island Saga Series),"George, Elizabeth",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Luis Munoz Marin (Community Builders),"George, Linda","George, Charles",,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
The Difference Between You and Me,"George, Madeleine",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Lily and Dunkin,"Gephart, Donna",,,,Kansas,Goddard Public Schools,November 2021,Banned Pending Investigation,Administrator
Lily and Dunkin,"Gephart, Donna",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Lily and Dunkin,"Gephart, Donna",,,,Texas,Fredericksburg Independent School District,March 2022,Banned Pending Investigation,Administrator
Lily and Dunkin,"Gephart, Donna",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Girls Like Us (2015),"Giles, Gail",,,,Texas,Keller Independent School District,December 2021,Banned in Libraries and Classrooms,Formal Challenge
Not So Pure and Simple,"Giles, Lamar",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Melissa (George),"Gino, Alex",,,,Florida,Hernando School District,November 2021,Banned in Libraries and Classrooms,Administrator
Melissa (George),"Gino, Alex",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
Melissa (George),"Gino, Alex",,,,Florida,Lee County Schools,March 2022,Banned in Libraries and Classrooms,Administrator
Melissa (George),"Gino, Alex",,,,Florida,Polk County Public Schools,January 2022,Banned in Libraries,Administrator
Melissa (George),"Gino, Alex",,,,Florida,St. Lucie Public Schools,December 2021,Banned in Libraries,Formal Challenge
Melissa (George),"Gino, Alex",,,,Florida,Walton County School District,April 2022,Banned Pending Investigation,Administrator
Melissa (George),"Gino, Alex",,,,Oklahoma,Bristow Public Schools,October 2021,Banned Pending Investigation,Administrator
Melissa (George),"Gino, Alex",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Melissa (George),"Gino, Alex",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Melissa (George),"Gino, Alex",,,,Texas,Katy Independent School District,January 2022,Banned in Libraries,Administrator
Melissa (George),"Gino, Alex",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Rick,"Gino, Alex",,,,Florida,Hernando School District,November 2021,Banned in Libraries and Classrooms,Administrator
Rick,"Gino, Alex",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Black Youth Rising: Activism and Radical Healing in Urban America,"Ginwright, Shawn A.",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,"Ginwright, Shawn A.",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Girl Mans Up,"Girard, M-E",,,,Georgia,Cherokee County School District,January 2022,Banned in Libraries,Formal Challenge
Girl Mans Up,"Girard, M-E",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Joshua and the City,"Girzone, Joseph F.",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
After the Game (The Field Party Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Bad for You (Sea Breeze Series),"Glines, Abbi",,,,Oklahoma,Bristow Public Schools,October 2021,Banned Pending Investigation,Administrator
Bad for You (Sea Breeze Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned in Libraries and Classrooms,Administrator
Losing the Field (The Field Party Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned in Libraries and Classrooms,Administrator
Making a Play (The Field Party Series),"Glines, Abbi",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
The Vincent Boys (The Vincent Boys Series),"Glines, Abbi",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
